"","KB100","KB101","KB102","KB103","KB104","KB105","KB107","KB108","KB109","KB110","KB111","KB112","KB113","KB114","KB115","KB116","KB117","KB142","KB143","KB144","KB145","KB146","KB147","KB148","KB149","KB150","KB151","KB152","KB153","KB154","KB155","KB156","KB157","KB158","KB159","KB160","KB161","KB162","KB163","KB164","KB165","KB166","KB167","KB168","KB169","KB170","KB171","KB172","KB173","KB174","KB175","KB176","KB177","KB178","KB179","KB180","KB181","KB182","KB183","KB184","KB185","KB186","KB187","KB188","KB189","KB190","KB191","KB192","KB193","KB194","KB195","KB196","KB197","KB198","KB199","KB200","KB201","KB202","KB203","KB204","KB205","KB206","KB207","KB208","KB209","KB210","KB211","KB212","KB213","KB214","KB215","KB216","KB217","KB218","KB219","KB22","KB220","KB221","KB222","KB23","KB24","KB25","KB26","KB27","KB28","KB29","KB30","KB31","KB32","KB33","KB34","KB35","KB36","KB37","KB38","KB39","KB40","KB41","KB42","KB43","KB44","KB45","KB46","KB47","KB49","KB50","KB51","KB52","KB53","KB54","KB55","KB56","KB57","KB76","KB77","KB78","KB79","KB80","KB81","KB82","KB83","KB84","KB85","KB86","KB87","KB88","KB89","KB90","KB91","KB92","KB93","KB94","KB95","KB96","KB97","KB98","KB99"
"O95295",271680,42153.6,66317.2,241505,32235.8,117393,15424.3,144040,68344.8,167972,44080.8,105936,89055.7,211814,97229.2,295483,41891.9,83859.1,49937.3,40485.6,50498.6,90185.4,97935.2,158902,23264,30779.3,42345.4,164468,81918,NA,NA,155830,89228,225423,60368.8,109016,37649.3,110108,66494.1,129284,13635.4,9856.1,NA,51647.4,17870.1,NA,34743,89878.4,29278.4,97475.2,NA,25256.3,201829,48104.4,143037,22209.5,70683.9,120664,49733.8,91129,22132.3,48853,8716.33,65738.2,27683.7,109932,27848.8,95116.7,74074.3,NA,133251,97647.8,37092.6,121408,75867.5,57870.5,52119.1,49660.8,198446,47246.5,17144,NA,194319,64590,88987.6,NA,87024.9,13609.1,58219,66568.7,175273,NA,54908.4,59699.8,132251,278252,57988.4,35554.3,94771.2,NA,166155,172009,13174.1,121269,118847,52503,128797,161302,87283.1,127214,NA,80110.4,69636.8,133039,60038,199839,112358,128954,91273.4,13485.2,33769.6,22176.6,109880,20288.9,164421,250166,71701.8,104281,127225,41034.9,58089.2,197751,67808.1,81520.9,218984,191323,10105.2,99191.2,46262.7,263743,20658.6,425453,180451,122979,45994.6,158502,36108.1,137381,26420.9,158189,60016.5,68675.7,90337.3,57804.7,31015.7,48884.6,124139
"O95299",101022,82540.4,111458,40339.2,56443.7,136338,28714.3,105211,97517.5,57930.7,48112,39436.9,77859,22163.7,22609.8,84636.7,176781,35736.7,95768.2,26237.1,25410.4,NA,NA,79452.1,150224,28598.3,49076.7,40049.4,36682.4,138276,31640,32651.1,73434.1,78954.6,35281.7,87251,121585,NA,8979.56,NA,48458.1,NA,NA,850943,103475,230978,44347.4,102531,38963.4,34571.5,47662,20787.6,66235.6,97102.4,NA,17145.3,55382.7,35898.7,46622.6,155756,68757.6,16206.7,28459.1,55194.9,121941,113292,81873,29471.8,72707.3,17139.1,NA,NA,58449.3,28757,42784,128591,NA,36743.3,95301.4,54278.7,110605,40346.1,112608,62580.2,74514.4,33966.2,60921.3,27908.8,60797.2,17383.5,NA,NA,55806.2,168155,51611.2,83338.4,89465.8,66055.8,82163.2,169296,173930,102814,22570.3,NA,100654,114845,68430.2,81524.3,13548,NA,NA,27001,36497.2,64054.9,55449.7,10261,NA,74872.4,32224.2,51123.4,122259,64744.7,162288,40069.6,98223.3,90883.5,106433,112429,NA,103130,62641.1,115565,174610,87287,51294,59593.2,61685.5,44936.7,48112.3,88489.8,55840,69029.5,47046.5,48010,61302.7,24156.9,71596.9,NA,23126.1,43834.3,35397.9,146588,150375,67653.9,43979.7,78859,75800.6
"O95302",2141.17,NA,NA,74855.4,NA,104962,NA,121390,NA,NA,NA,112114,NA,75498.8,NA,12063.4,NA,92312.2,11457.7,2138550,38103.4,NA,NA,15814.3,NA,NA,NA,50457.8,19026.9,NA,NA,171567,NA,182776,17033.2,NA,NA,36984.4,42840.3,10813.5,NA,NA,NA,37920.8,NA,NA,NA,NA,NA,24869.4,NA,NA,39343,23178.1,NA,NA,74332.7,96740.2,NA,26860,NA,NA,NA,143128,NA,30380.3,NA,87916,NA,NA,NA,NA,NA,NA,170465,34305.5,NA,NA,131695,NA,NA,NA,58618.5,NA,74830.5,10009.1,59306.9,13773.2,143422,149907,NA,NA,167973,70934,124617,20762.3,NA,NA,NA,NA,101711,35947.5,73824.6,69471.7,83176.6,47929.5,23448.3,43385.2,169036,31408.5,NA,32435.1,148465,161385,116207,40917.5,56003.8,116827,90314.1,5092.88,NA,NA,77767.1,NA,8014.76,48098.4,58051,84849.8,30658.3,NA,NA,80532.9,21098.4,NA,20823.8,NA,NA,38498.6,12855.9,25222.7,NA,18690,NA,26428,NA,75938.7,NA,NA,NA,139605,NA,282520,99008.9,NA,129041,NA,6638.39
"O95336",1729460,1231240,1896670,2456540,2379620,2614970,1584480,772152,2343960,2279060,1216170,2263990,1950960,2540980,2906620,2014280,1770950,1072160,1374000,2689970,2001190,3278970,1741760,2568080,2675270,1473720,2238210,3500860,1771000,1993220,1329290,2455180,1550080,2599110,2554940,1683070,1606750,1622690,1970070,672220,1720050,1235830,1348450,3690680,2298640,1321470,1516550,1421490,2616160,2378510,1961280,2824390,1083910,2308280,1527020,1384180,1252440,2952750,2641390,1680670,3431000,1943770,1435890,2747640,1711020,2799930,1727650,2434240,1986650,1799420,1593450,1286710,1724900,2279080,2859070,1438640,2339720,2188400,2528230,3033780,1084540,1560570,2931610,2335190,1708070,2714050,1858470,1919180,4471800,2344070,1291080,1900690,2935310,877838,3244910,1731110,1044670,2295800,2880310,135325,927734,1792830,1122920,3170510,1632970,2078940,1381420,1552140,2125080,1933180,608170,1132470,1095830,1969930,3257260,1954930,1523940,1413970,1862440,2248010,1612420,2099390,2283740,1917360,2181970,2247310,2548810,2470550,908513,2210950,2808580,2794280,1633950,1945930,1161290,921343,2778100,1941340,1757710,1627670,2174570,2527540,1443500,2485710,2085780,3713690,2477190,2104120,1178780,2870240,2625530,2889780,3661490,2450750,1650750,2017780,1940480
"O95340",NA,741928,219127,NA,564047,NA,345563,87603.6,313555,NA,37089.3,8896.43,203376,31455.4,313200,539479,307385,75543.1,286220,NA,377234,215855,NA,NA,563611,36229.3,298745,61464.1,219331,498561,434214,146591,208581,159384,306693,454815,67656.8,NA,205648,379163,363631,NA,131007,NA,222280,NA,345298,670637,239391,NA,633271,663165,NA,551819,NA,400721,115963,96048.2,263261,122788,254455,208175,751703,225386,199864,NA,184977,371808,NA,718481,829604,NA,364299,272347,NA,157443,NA,699629,41095.7,220290,26057.5,561205,NA,239561,256562,716120,100831,281773,NA,318327,702571,580866,468817,508911,71858.8,NA,NA,187639,335840,36067.9,43568.3,NA,NA,NA,NA,149119,37852,NA,310117,NA,NA,NA,62743.9,176227,NA,632665,61815.8,88286.9,92410.5,117119,NA,132670,419413,403659,NA,NA,167667,NA,NA,335370,599883,214340,261285,118235,NA,NA,390535,132908,316463,195122,226908,NA,547977,NA,255867,NA,278639,NA,117979,36572.6,196805,NA,NA,319338,99423.9,154046,NA
"O95352",NA,NA,NA,NA,5874.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20014.4,NA,8569.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12906.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38677.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15260.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18085.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4824.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,11734.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6310.18,NA
"O95359",NA,NA,NA,28448.6,NA,NA,NA,6846.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10602.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14660,NA,NA,NA,NA,NA,NA,NA,64004.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6496.4,NA,NA,NA,NA,29600.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59970.4,NA,NA,NA,NA,NA,8589.18,NA,NA,NA,NA,NA,NA
"O95372",NA,110192,147558,60579.4,109533,148774,153847,129648,24561.5,NA,64281.1,21556.7,73712.4,58710.8,71044,15441,15273.9,118722,130633,166819,78565.9,NA,NA,NA,NA,161034,59855.1,121278,64577.7,15884.4,NA,125193,18915.4,16432.6,34068.2,53319.5,108346,NA,44687,NA,NA,22733.9,NA,NA,67571.9,13346.1,NA,37026.3,126331,NA,NA,NA,29554.1,36055.7,NA,23784.2,31189.8,32451.8,124761,33651.7,115728,18884.5,115755,31926.5,266269,NA,NA,35860,6605.86,NA,NA,NA,NA,74101.8,133002,73544.2,13997.7,54950.2,56320.2,116441,NA,18435.9,98081.1,113547,75930.3,135483,39463.8,21437.9,52883.6,72691.7,32616.8,NA,124144,127818,68721.7,NA,22038.1,NA,82146.8,150109,104025,NA,273826,24731.9,70711.5,161549,298008,31561.7,173641,NA,NA,10302.5,139825,63065.2,95646.7,184550,23599.9,193106,88595.3,137215,23484,96263.1,24149.5,98004.1,NA,15631.3,46909.7,126053,NA,106053,199643,13543.2,17959.9,94557.1,9280.05,NA,NA,109596,37554.1,4946.58,112070,19829.4,15578.6,6304.78,81411.3,242384,76284,NA,107574,57618.4,102997,161369,67381.4,41929.7,62289.7,79533.7,NA
"O95373",NA,53345.4,34794.3,189954,49530.1,250247,8388.15,200771,41478.5,NA,70349.4,68177.1,30329.4,172477,69947.6,203671,NA,138200,50260.6,413977,75040.6,NA,NA,9633.98,NA,97777.2,46229,196038,85599.7,NA,NA,129336,99154,158249,70874.5,40888.3,42991.8,34672.4,196050,NA,NA,60166.9,NA,22737.3,29108.3,7489.42,NA,NA,40957.6,57808.2,32471.1,36483,21376.8,NA,NA,20632,184231,103232,87421.6,31735.8,68384.5,31441.2,NA,48104.6,73450.8,NA,NA,144214,NA,NA,NA,NA,NA,84358.8,153820,36352.2,9646.11,86540,123127,54702.6,NA,9047.69,184100,39454.4,89680.7,NA,132272,NA,185505,38528,175362,NA,147963,164653,95744.2,NA,46864.3,91917.5,68557.4,8668.68,35668.2,NA,135898,61965,38021.3,50318.4,193339,34020.3,107502,NA,NA,22771.9,87653.5,87836.3,143564,166604,14395.8,292068,11122.2,48666.8,28352.1,54041.4,99222.7,40518.7,NA,56347.7,62355.5,283217,NA,58554.5,51018.2,79246.2,72652.4,8876.2,NA,NA,NA,53523.1,NA,NA,NA,35969.4,NA,5029.38,NA,114393,58260.1,NA,NA,170875,66278.2,217426,190097,76927,104730,23715.2,NA
"O95394",NA,1045650,1299930,123343,931858,192402,985389,434833,850505,NA,NA,142544,1210520,213176,569107,717388,779163,200276,963249,386719,669320,NA,NA,NA,1030750,572615,1387450,213080,1036770,573001,1107540,261346,596073,311166,1165350,366957,651602,NA,417405,895250,869326,NA,236886,NA,1633730,127996,165949,1495510,850403,NA,307194,769564,237619,954374,NA,674541,223981,138715,1201640,50015.7,701971,139138,843723,153508,631532,732607,1470630,173907,NA,668002,71774.8,NA,522671,1175320,497179,763400,NA,1077480,246175,780468,251584,344210,165571,1057640,629044,738449,410996,580162,337742,312411,754655,437205,648180,876428,90364.7,NA,325230,873163,1302910,NA,293581,55542.3,137936,174957,95196,213974,398524,69200.2,473503,226017,NA,NA,337652,352009,271508,354307,81379.1,768223,405685,1225240,918835,788985,1023260,792003,175099,69544.1,639465,163915,NA,755720,1680960,90890.2,645414,729855,213684,NA,119951,759644,392308,NA,546385,NA,848777,474454,455184,150683,851759,548069,674801,170260,1149620,417630,156007,918812,203570,991811,NA
